ano,UF,nome_programa,titulo,resumo,autor
2009,DF,SOCIOLOGIA,A desigualdade racial de renda no Brasil: 1976-2006,"Esta pesquisa apresenta uma análise da desigualdade racial de renda no Brasil para investigar a validade da tese de que a sua persistência se deve preponderantemente ao peso exacerbado da origem social nos processos de estratificação caracterizando um regime de baixa mobilidade, no qual há ainda o complemento de efeitos menores da discriminação racial. A origem social e a discriminação prejudicam os negros em suas trajetórias, a primeira mais do que a última por causa da associação entre raça e estratificação legada pelo passado escravista. Porém, o complemento proporcionado pela discriminação é fundamental para gerar a persistência, pois na sua ausência o regime de mobilidade induziria uma equalização racial lenta. A análise é conduzida mediante técnicas estatísticas a partir de bases de dados que contêm as respostas aos questionários aplicados de 1976 a 2006 pela Pesquisa Nacional por Amostra de Domicílios, PNAD, realizada pelo Instituto Brasileiro de Geografia e Estatística, IBGE, com ênfase nos dados de 1976, 1986, 1996 e 2006. A desigualdade racial de renda considerada é a de renda domiciliar per capita entre brancos e negros, grupo formado pela agregação de pretos e pardos. A tese foi quebrada em seis hipóteses que guiaram a pesquisa e a análise dos dados. Todas as seis são compatíveis com os dados, corroborando a tese. Mostra-se progressivamente que: i) existe desigualdade racial de renda domiciliar per capita no Brasil; ii) essa desigualdade é persistente de 1976 a 2006, seu nível é relativamente constante; iii) os dois grupos raciais têm regimes de baixa mobilidade, o que denota importância da origem social nesses processos; iv) a principal fonte da desigualdade racial de renda é a diferença no nível da renda do trabalho de negros e brancos; v) a diferença no nível da renda do trabalho se deve preponderantemente às desigualdades educacionais entre negros e brancos; vi) as desigualdades educacionais entre os grupos raciais são em larga escala determinadas pela origem social.",Rafael Guerreiro Osório
2010,SP,SOCIOLOGIA,O charme (in)discreto do gosto burguês paulista: Estudo sociológico da distinção social em São Paulo,"Partindo dos confrontos que atravessam os estudos de sociologia do gosto na.Europa e na América do Norte, esta tese trata dos processos de distinção social pelo.gosto com ocupantes das mais altas posições na hierarquia social da cidade de São.Paulo. Num primeiro momento, aborda os itens simbólicos das hierarquias culturais.“legítimas” e as “técnicas da sociabilidade mundana” tal como se manifestam em.manuais de etiqueta, crônicas da vida mundana e críticas culturais, passando em revista.algumas estatísticas de dispersão social dos bens culturais e certas representações do.consumo encenadas no material da imprensa paulistana contemporânea. Num segundo.momento, o estudo se encaminha para a investigação de como frações das classes altas.de duas áreas residenciais de São Paulo (a dos Jardins e a de Alphaville) – marcadas por.disparidades associadas à estrutura e, sobretudo, à evolução no tempo do volume total.do capital - reagem a esses apelos de “estilização da vida”. A análise de seus confrontos.de preferência, realizada com base em entrevistas semi-diretivas, permite afirmar que os.processos de distinção e estigmatização seguem se revigorando através das.classificações conflitivas que explicitam habitus de classe e se atualizam através das.práticas e das escolhas estéticas.",Carolina Martins Pulici
2010,SP,SOCIOLOGIA,TRABALHO INFORMAL E DESEMPREGO: DESIGUALDADES SOCIAIS,"Este estudo demonstra, a partir de uma abordagem etnográfica, o processo de inserção e permanência de trabalhadores no mercado de trabalho informal; as formas de exploração, dominação e precarização do trabalho e suas  conseqüências sobre as condições de saúde, trabalho e vida dos trabalhadores, a partir de quatro grupos abordados mais diretamente: os.vendedores ambulantes; os catadores de materiais de reciclagem; os colhedores de laranja; e os pescadores de lagosta. A pesquisa revela as estratégias de resistência desenvolvidas pelos agentes informais no cotidiano de trabalho, bem como as formas de organização adotada por eles para tentar reverter a situação de pobreza e exploração. O posicionamento das várias instituições sociais e políticas – em particular os sindicatos, as cooperativas e as Organizações Não-Governamentais (ONGs), os movimentos sociais e, principalmente, o Estado – frente ao contexto da economia informal, é destacado neste estudo. O objetivo principal é analisar a articulação do trabalho informal e sua importância no modo de produção capitalista. Tal entendimento possibilita combater as reais causas do desemprego, da informalidade e da desigualdade social e econômica. Faz-se a crítica aos princípios do “empreendedorismo”, da “autonomia” e do “cooperativismo” como alternativas ao desemprego. As várias formas de trabalho na informalidade, como o trabalho “autônomo”; o trabalho por conta-própria; o trabalho.temporário; e o trabalho terceirizado, encobrem o caráter subordinado do trabalho informal aos setores dinâmicos da economia e, consequentemente, ao processo de acumulação capitalista. A falta de um contrato de trabalho, ou de um contrato que proteja totalmente o trabalhador, é considerada uma afronta à cidadania social. Sendo assim, o trabalhador informal deixa de ser visto como cidadão ou como sujeito de direitos. Esse problema se torna importante na medida em que analisamos o tipo de economia, o modelo de desenvolvimento e o papel do Estado como responsável pelas políticas públicas de educação; de saúde; de emprego; e de segurança, entre outras medidas voltadas a esse.segmento da população. Pensamos num modelo de desenvolvimento em que sejam considerados os interesses sociais e a defesa do meio ambiente. A prioridade devem ser os investimentos na educação, em primeiro lugar. Com uma educação básica e fundamental de qualidade, podemos vislumbrar uma possibilidade de desenvolvimento com inclusão social. Os direitos de cidadania, nesse caso, se traduzem em ter acesso à educação, aos serviços de saúde, ao trabalho decente e à segurança, entre outras necessidades, para todos.",Myrian Matsuo Affonso Beltrão
2010,SP,SOCIOLOGIA,"Educação Superior, Emprego e Renda: uma relação problemática.  RMSP.  2002 – 2009","Este estudo investigou a relação entre educação e renda a fim de entender os limites da educação superior como promotora do bem-estar individual e social. Pretende, assim, contribuir para a análise dos impactos, no curto prazo, da educação superior sobre o mercado de trabalho e sobre a renda dos trabalhadores em seu conjunto. A escolha do recorte de tempo,.2002-2009, é particular porque é o momento no qual as dinâmicas de três processos sociais, aparentemente sem muita sinergia entre eles, começam a se encontrar. Os processos são: (i) a expansão do acesso ao ensino superior, particularmente do setor privado; (ii) a reestruturação do mercado de trabalho na RMSP – Região Metropolitana de São Paulo; e (iii) o crescimento.da PIA – População em Idade Ativa. A questão que se colocou foi entender quais arranjos sociais seriam feitos para dar conta da maior entrada de pessoas mais jovens e mais escolarizadas num mercado de trabalho que redefinia a sua estrutura de oportunidades. Foram utilizados os bancos de dados da PME – Pesquisa Mensal de Emprego do IBGE para as análises cross section dos mesmos pares de indivíduos em dois momentos, 2002-2003 e 2008-2009, fornecendo elementos descritivos para a compreensão da relação em foco. Modelos probabilísticos – Logit e OLogit – foram modelados para a mensuração dos impactos, entre 2002 e 2009, da escolaridade sobre a ocupação (emprego ou desemprego); da escolaridade sobre a qualidade da ocupação (mercado formal ou mercado informal); e os impactos na renda.recebida pelos indivíduos segundo as características de escolaridade, idade, gênero, cor, condição na família e inserção no mercado de trabalho. Entre outras conclusões, os resultados desta investigação reafirmam as possibilidades muito maiores do trabalhador com ensino superior de estar nos estratos superiores de renda, mas destacam que ele perdeu importância.para fins de empregabilidade no período analisado, ao contrário do trabalhador com ensino médio cuja importância aumenta para fins de empregabilidade.",Thais Helena de Alcântara Peres
2010,SP,SOCIOLOGIA,"Estado, Sociedade e Políticas Públicas de Educação: O PCN de História no contexto das políticas neoliberais dos anos de 1990","Esta pesquisa concentra-se no estudo de uma política pública educacional brasileira para o Ensino Fundamental I, que se institucionaliza a partir dos anos 90 no Brasil, mais especificamente em 1996-97, influenciada pela conjuntura política, econômica e social de décadas anteriores. Tem como objeto de estudo o documento oficial de política educacional: PCN de História para o Ensino Fundamental I. Para tanto, esta pesquisa se dividirá em dois importantes momentos. O primeiro dará destaque a uma investigação e análise dos objetivos e estratégias do Banco Mundial, especialmente, e demais organismos internacionais para as políticas públicas de educação básica I - no Brasil - na década de 90 do século passado. E o segundo momento dará destaque à investigação do PCN de História para o Ensino Fundamental I e seus fundamentos teóricos. A pesquisa tem como objetivo verificar se esta política curricular possui uma proposta subjacente aos objetivos dos organismos internacionais, colocando-se como elemento auxiliador destes para execução de suas metas. Sendo assim, a tese aqui revelada é a de que o PCN de História para o Ensino Fundamental I possui um caráter alienador, uma vez que apresenta uma proposta subserviente à lógica do capital, em detrimento de uma lógica humanizadora.",ANA FERNANDA INOCENTE OLIVEIRA
2010,DF,SOCIOLOGIA,Ações afirmativas no Brasil: um estudo de caso sobre o Estatuto de Igualdade Racial,"O trabalho busca analisar o contexto sociopolítico da aprovação, em 2010, do Estatuto da Igualdade Racial, pelo Congresso Nacional. Para tanto, investiga: 1) a chegada da noção de ações afirmativas ao Brasil, tendo se materializado aqui em políticas com recorte racial, em especial, as políticas de cotas para o acesso de negros no ensino superior 2) o histórico de projetos de lei com conteúdo de ação afirmativa que já passaram pelo Congresso, até a apresentação, em 2000, do Estatuto da Igualdade Racial, projeto de lei que reúne variadas propostas para a população negra, no âmbito do acesso à justiça, à saúde, à educação, à terra e ao mercado de trabalho. 3) a forma como a militância negra, ao longo da história, tem se relacionado com o Estado brasileiro, a fim de ver atendidas suas demandas por igualdade substantiva. 4) questões pertinentes à representação política da população negra, por meio da análise de pesquisas que tratam da sub-representação de negros no parlamento e das possibilidades do voto étnico no Brasil. 5) os embates travados no Congresso Nacional, em torno do Estatuto da Igualdade Racial, projeto que, por tocar em questões de interesse de muitos grupos organizados, suscitou grandes polêmicas, que explicam o período de tramitação de dez anos até a sua aprovação.",Rafael Augusto da Costa Alencar
2011,PB,SOCIOLOGIA,"“A Presença da Cultura Popular em Três Grandes Eventos em João Pessoa: Fenart, São João e Festa das Neves”.","O presente trabalho pretende abordar a participação da cultura popular nas festas e eventos na cidade de João Pessoa no ano de 2010, como o FENART, a Festa das Neves e o São João. A partir da pesquisa de campo foi possível visualizar como esses grupos se encaixam na programação cultural da cidade. O tratamento diferenciado possibilitou enxergar ambiguidades na valorização da cultura. Os três eventos apresentaram formas diferentes de incluir a cultura popular. No FENART houve um tratamento desigual e desrespeitoso com os grupos populares, tendo em vista a dimensão do evento. Almejou-se atender um determinado tipo de público. O São João separou os palcos, e colocou os horários diferentes, além de ter dado maior visibilidade às quadrilhas. Na Festa das Neves houve uma mudança que melhorou a participação da cultura popular, centralizou a festa em um único espaço e alternando os horários. A pesquisa é feita a partir da fala dos mestres. ..Palavras-chave: cultura popular- ambiguidades- desigualdades- diferença.",Camila Maria Gomes Pinheiro
2011,RJ,SOCIOLOGIA,Consumos cultural como diversidad expresiva. Desigualdades en las construcciones simbólicas,x,Maximiliano Nicolás Duarte Acquistapace
2011,RJ,SOCIOLOGIA,A Vila Acaba Mundo e a Construção de Mundos Possíveis: Reflexões sobre uma  experiência de luta pela moradia,x,Renata Versiani Scott Varella
2011,SP,SOCIOLOGIA,"""Os pioneiros: a desigualdade digital entre membros das classes médias na cidade de São Paulo""","Este estudo teve como objetivo entender os modos de uso de computadores por diferentes.membros das camadas sociais médias na cidade de São Paulo, em um momento histórico de.aumento do consumo das classes menos privilegiadas. Levando-se em conta a teoria dos campos.de Bourdieu, a hipótese central deste estudo é a de que os diferentes modos de uso dos.computadores são originados a partir da distribuição desigual dos capitais econômico e cultural.entre membros dos diferentes grupos sociais pesquisados. Através da etnografia dos usos, foi.possível observar e comparar diversos modos de uso do computador e da internet que colaboram.com a hipótese central. Esta pesquisa apresenta as barreiras que a desigualdade digital impõe às.classes menos privilegiadas assim como também apresenta algumas estratégias de superação.dessas barreiras que essas classes adotam.",Jayr de Andrade Pimentel Neto
2011,SP,SOCIOLOGIA,"Retrato Cultural, Montevidéu entre Cumbias, Tambotes e Operas","Este trabalho indagou a respeito da relação entre gostos, práticas e padrões de consumo cultural e as modalidades de estratificação social — em particular, as classes — na Montevidéu dos anos 2000. .A hipótese guia do trabalho sustentava que o consumo cultural -os gostos, práticas e opções culturais- nestas coordenadas geográficas e temporais expressou não somente modalidades de integração social, como se acredita comumente no Uruguai, como também de legitimação/reprodução da desigualdade social. Em outras palavras, o consumo cultural no período em questão tem sido um fator fundamental de identificação social de classes e, portanto, mais uma ferramenta de distinção que um fator de coesão social. .Os montevideanos têm se aferrado fortemente a seus habitus de classe, especialmente àqueles considerados “gostos médios”, mais tradicionais e com pretensões de transversalidade social, apesar da presença de estilos de vida cada vez mais individualizados, produto de uma nova era cultural, mais tecnológica e cosmopolita, que interpela e tende a desordenar esta homologia cultural entre gostos e classes..Para analisar o espaço social do consumo cultural e delinear os aspectos objetivos e subjetivos, a partir de uma perspectiva relacional (Bourdieu) trabalhou se com analise estatístico de dados de consumo cultural e entrevistas a intermediários culturais.",María del Rosario Radakovich
2011,SP,SOCIOLOGIA,Entretempos: experiências de vida e resistência entre os Kaiowá e Guarani a partir de seus jovens,"Este trabalho consiste na etapa final da pesquisa “ENTRETEMPOS: experiências de vida e resistência entre os Kaiowá e Guarani e partir de seus jovens” que foi desenvolvida a partir de 2007, junto ao programa de Pós Graduação em Sociologia, nível doutorado, da FCL/UNESP/Araraquara, com o propósito de estudar o envolvimento de grupos de jovens, integrantes do povo Kaiowá e Guarani, nos projetos de vida e resistência de seu povo. A intenção, com a pesquisa, era de contribuir para a interlocução com a temática juvenil num contexto mais amplo, direcionando as discussões para a especificidade das questões da juventude junto aos povos indígenas e fornecendo elementos que contribuam para a visibilidade das múltiplas juventudes no país. A pesquisa foi desenvolvida a partir do método etnográfico, considerado como uma contribuição metodológica valiosa, por permitir explicar a experiência da pesquisa intercultural. A metodologia incorporou, ainda, a análise das narrativas espontâneas dos jovens professores Guarani e Kaiowá, ocorridas em contextos públicos, e materiais escritos, como avaliações de curso, planos de aula, documentos oficiais e oficiosos. O terreno de pesquisa foi o Curso Normal Médio – Formação de Professores Guarani e Kaiowá - “Ára Verá” e o Curso de Licenciatura Intercultural Indígena “Teko Arandu”, a partir dos quais foi possível o acesso aos jovens professores Guarani e Kaiowá, especialmente da Aldeia Te’ýikue, município de Caarapó, Mato Grosso do Sul.",CELIA MARIA FOSTER SILVESTRE
2012,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Estado, mercado e pobreza na visão das elites no Brasil e no Uruguai.","Neste trabalho analiso os valores e as estratégias das elites frente à pobreza e à desigualdade nos últimos trinta anos no Brasil e no Uruguai. Exponho os papéispercebidos pela elite em relação a ela mesma, ao Estado e ao mercado em função das mazelas sociais e dilemas políticos trazidos pela pobreza e pela desigualdade. Para tal, lanço mão de uma análise histórico-comparativa, substanciada por dados amostrais nacionais sobre percepções de elites. Busquei, a partir do uso de surveys, identificar as especificidades culturais das elites de cada um dos dois países, mas com a precaução de não essencialisar a cultura de cada um deles e perder de vista a influência do contexto histórico. Argumento que, embora Brasil e Uruguai sejam muitas vezes tratados na literatura como opostos, existe um forte paralelismo entre esses casos na experiência recente das elites com os pobres no contexto de consolidação da democracia. A herança histórica do Estado empresário, ou desenvolvimentista, e os desafios sociais impostos pela desigualdade levaram as elites a propor medidas similares, embora muitas vezes partindo de premissas culturais diferentes.",MATIAS LOPEZ MARTINEZ
2012,RJ,SOCIOLOGIA E ANTROPOLOGIA,"Ainda  somos os mesmos: classificação, organização e ethos escolar.","Esta dissertação é um estudo sobre sistemas de classificação no ambiente escolar. O objetivo principal é descrever e analisar o cotidiano de uma escola pública carioca buscando perceber o processo de construção dos princípios classificatórios, as formas de organização e distribuição do poder interno, e, o ethos escolar. O trabalho de campo foi realizado em uma unidade escolar da rede estadual de ensino médio em um bairro da zona sul da cidade do Rio de Janeiro entre agosto de 2010 e dezembro de 2011. Nesse período a escola passou por um processo em que o diretor geral foi afastado do cargo e uma nova direção foi empossada pela Secretaria de Estado de Educação do Rio de Janeiro (SEEDUC). Os fatos foram narrados a partir da perspectiva de análise de Victor Turner, tendo como guia para a própria descrição etnográfica o conceito de drama social. Um evento extraordinário que ameaçou romper as relações reguladas pela norma deu início ao drama. Na crise desencadeada tornaram-se claras as linhas de força que estruturavam as relações sociais no interior da escola e desta com a SEEDUC. O diretor geral foi afastado, a escola passou por um período que podemos chamar de liminar, uma espécie de interstício entre a antiga norma e a que estava por vir com nova direção dentro dos moldes da nova gestão da SEEDUC. O rito tornou-se, finalmente, coletivo. Ocorreu, então, a expressão pública e simbólica da reconciliação entre as partes envolvidas no conflito com a reconstituição, ao menos temporária, do tecido social esgarçado. Ao final o código que prevaleceu foi aquele baseado no carisma, nos julgamentos morais e na afetividade. A nova gestão, portanto, não atingiu seu objetivo de impor uma nova organização definida por um código mais burocrático racional.Com isso, o drama não produziu uma ruptura, mas consolidou as regras tradicionalmente vigentes naquela escola. Os atores daquela escola continuaram com a escola de sempre, continuaram os mesmos.",RAQUEL FERREIRA RANGEL GOMES
2012,RJ,SOCIOLOGIA E ANTROPOLOGIA,Tecendo rede: usos tecnológicos por jovens em uma metrópole brasileira.,"Essa dissertação analisa a produção de distinções e semelhanças no acesso e uso de computadores e internet por jovens. Visa investigar os impactos da expansão da conexão e da diversificação nas utilizações da internet sobre as desigualdades associadas à disseminação diferenciada desses dispositivos, enfocando jovens de áreas onde a possibilidade de acesso aos mesmos alcança a maioria da população. Para tal, entrevistaram-se 32 alunos de duas instituições de ensino formal - um colégio da rede estadual de educação localizado na zona norte e uma escola particular da zona sul -, de 15 a 18 anos, residentes na região metropolitana do Rio de Janeiro e matriculados no Ensino Médio. Conclui-se que o acesso e uso de computadores e internet entre jovens apontam para semelhanças e distinções entre indivíduos que ocupam diferentes posições no espaço social. No contexto estudado, a possibilidade e qualidade do acesso àquelas tecnologias, a aprendizagem das habilidades para sua utilização e a maioria dos usos realizados pelos entrevistados não constituem fontes de desigualdades. De fato, alguns usos destacam a vivência da juventude como uma ""experiência de massa"" (DUBET, 1996a). Contudo, os usos da internet também atuam como mecanismos de reprodução social, pois: a utilização das redes sociais virtuais reforça a coesão de certos grupos sociais; e a incorporação distinta das TICs nos processos de ensino-aprendizagem tende a beneficiar mais intensamente estudantes com maior renda familiar e cujos pais 12 possuem maior grau de instrução, refletindo e contribuindo para a continuidade das relações sociais, econômicas, políticas e culturais mais amplas.",LUCIANA GOMES FERREIRA
2012,RJ,SOCIOLOGIA POLÍTICA,"A POLÍTICA DE AÇÃO AFIRMATIVA EM PAUTA: DEBATES, CONSENSOS E CONFLITOS. UM ESTUDO DE CASO SOBRE O SISTEMA DE COTAS NA UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE","Desde a implementação das primeiras iniciativas de ação afirmativa no Brasil, no caso a implementação das Leis Estaduais nº 3.524/2000 que dispunha sobre os critérios de seleção e admissão de estudantes da rede pública estadual para ingresso nas universidades públicas estaduais do Rio de Janeiro e da Lei nº 3.708/2001 que determinava a reserva de vagas para pessoas autodeclaradas negras e pardas1, tem se construído um intenso debate nos meios de comunicação, assim como também a manifestação de intelectuais a partir de formulações teóricas sobre a consequência dessas ações para o Brasil, principalmente no que tange a população preta e parda. Entretanto, poucos estudos têm se dedicado a avaliação empírica. No plano teórico, os debates têm se polarizado, constituindo-se em argumentos de duas naturezas, os contrários e os favoráveis a tais medidas. Dessa forma, com o objetivo de superar a discussão corrente que gira em torno do “contra” ou “a favor” é que realizamos este trabalho de pesquisa. O trabalho é constituído a partir de um estudo de caso realizado na Universidade Estadual do Norte Fluminense Darcy Ribeiro-UENF a qual serviu como lócus de análise das questões levantadas nesta tese, qual seja, que a extensão da política de cotas está muito aquém das proposições e previsões que se fazem dela, visto que há uma  impossibilidade de generalizações, pois as ações afirmativas no Brasil se estende a contextos heterogêneos e diversos.",LUDMILA GONÇALVES DA MATTA
2012,SP,SOCIOLOGIA,"""Formação e identidade profissional: a trajetória de egressos de Ciências Sociais""","Ao tomar como base o recente processo de expansão do ensino superior em ciências sociais, esta pesquisa procura investigar os possíveis efeitos dessas transformações sobre os contextos de titulação, inserção profissional e de construção identitária dos graduados neste curso nos últimos anos. Seu objetivo principal é analisar quais traços fundamentais têm caracterizado a relação entre a formação e o mundo do trabalho para os ex-alunos de Ciências Sociais e, principalmente, em que aspectos ela apresenta eventuais diferenças (em comparação com outras gerações) no processo de constituição das identidades profissionais desses egressos. Após a aplicação de um questionário exploratório com mais de dois mil cientistas sociais de todo o país, foram selecionados 35 deles, com diferentes perfis de formação e inserção profissional, para uma entrevista semiestruturada que buscou investigar de forma mais minuciosa os principais elementos que marcaram suas trajetórias educacionais e profissionais, bem como as percepções que constroem acerca desse processo. A análise dessas trajetórias foi realizada a partir de quatro grandes eixos principais: os motivos de escolha pela carreira, o contexto de realização do curso, a trajetória profissional após o término da graduação e, por fim, os elementos identitários que se manifestam no decorrer desses percursos educacionais e profissionais.",Danilo Martins Torini
2012,SP,SOCIOLOGIA,"""Classe, raça e ação afirmativa: a política de inclusão social numa universidade pública de Pernambuco""","O presente trabalho busca analisar a política de cotas na Universidade de Pernambuco,.procurando observar seus possíveis impactos na composição racial dos ingressantes nos.cursos de graduação da referida instituição. O desenvolvimento desta pesquisa recorreu.a seis bancos de dados, referentes aos exames vestibulares entre os anos de 2005 a 2010,.os quais foram estudados por meio de uma abordagem quantitativa. Analisamos os.efeitos na distribuição racial por cursos específicos, considerando o background social.dos vestibulandos, desagregando-os em grupos comparativos por raça e origem escolar.(beneficiários ou não da reserva de vagas), bem como outras categorias relevantes..Sistematizamos nossa observação a partir de três aspectos, os quais, segundo propomos,.relacionam-se com a elaboração da política de cotas: a trajetória histórica e institucional.da universidade; o mercado de ensino profissional superior na região; o contexto de.mobilização político-social, especificamente no tocante à temática racial. Esses três.pontos são analisados em consonância a uma orientação teórica que busca fundamentar.as especificidades da realidade pernambucana no que diz respeito às relações raciais no.estado e na composição de um quadro reprodutor de desigualdade durável. Concluímos,.por meio da análise dos dados, que a concatenação dessas dinâmicas e especificidades.repercute tanto na forma quanto nos efeitos da política de cotas da Universidade de.Pernambuco, visto que, de maneira geral, tem levado a uma maior inclusão de.estudantes negros advindos de escola pública, ao mesmo tempo em que ficam evidentes.as estratégias empregadas pelos estudantes não-negros na reprodução do controle dos.nichos ocupacionais mais prestigiosos.",Francisco Jatobá de Andrade
2012,SP,SOCIOLOGIA,"""Ampliação do acesso ao ensino superior privado lucrativo brasileiro: um estudo sociológico com bolsistas do Prouni na cidade de São Paulo""","A pesquisa tem como objeto empírico o Programa Universidade para Todos (ProUni), implementado no ano.de 2005, em nível federal, no governo de Luiz Inácio Lula da Silva. Foi empregada a metodologia qualitativa.na análise tanto das entrevistas quanto dos questionários aplicados com cinquenta bolsistas de instituições.privadas de ensino superior e cursos distintos da cidade de São Paulo. Como técnica para reconstrução das.evidências empíricas, utilizou-se o estudo de caso..Buscou-se uma abordagem sociológica do Programa Universidade para Todos, no sentido de compreendê-lo.diferentemente de outras pesquisas e estudos que enfatizam, estritamente, seu caráter “privatizante” sem.considerar e, também, integrar, outras dimensões como as vicissitudes do acesso e da permanência de jovens.de baixa renda provenientes do ensino médio público, as particularidades dos processos seletivos, a.emergência de um novo perfil social de estudante universitário, a reconstrução histórica e a metamorfose.recente pela qual passa o setor privado de educação superior e como esta mudança se articula com o.surgimento do ProUni, a pouca permeabilidade do ensino superior público às demandas legítimas desses.trabalhadores-estudantes que constituem o grosso dos bolsistas, a reflexão sobre a qualidade da maior parte.das instituições participantes e suas relações com o processo de “democratização do acesso” em curso, dentre.outros elementos. A natureza do objeto exigiu traçar, em perspectiva histórica, a constituição e consolidação.do que qualifico como ensino superior privado lucrativo brasileiro e, também, avançar na compreensão da.recente metamorfose desse segmento, que desde o fim da década de 90 e início dos anos 2000 vem ganhando.nova configuração com a atuação de grandes grupos nacionais e internacionais..A parte analítica dos dados obtidos com a aplicação das técnicas de investigação orientou-se pela articulação.de quatro eixos temáticos com o objetivo de reconstruir as condições familiares e de trabalho, bem como as.experiências de acesso e permanência dos bolsistas no ensino superior privado lucrativo. A sistematização.dos pontos convergentes e divergentes entre os pesquisados permitiu captar as singularidades desses.estudantes, o que propiciou, assim, visualizar nuances nessa política pública que, regularmente, é vista de.forma homogênea e, muitas vezes, acriticamente. Ao longo da tese, são destacados vários aspectos.heterogêneos que marcam os percursos dos bolsistas: apreensão de características socioeconômicas.diferenciadas entre os estudantes, tipos distintos de instituições em que os alunos estudam, formatos díspares.dos cursos que frequentam, dentre outros elementos. Os dados empíricos coligidos e analisados sugerem.diferenças importantes entre três subgrupos de bolsistas (bacharelandos, licenciandos e tecnólogos), com.acentuada positividade para os bacharelandos no que se refere à formação escolar, origem social e.econômica, bem como condições culturais. Assim, esse subgrupo de entrevistados acessa cursos e.universidades mais prestigiados quando se compara com os outros dois agrupamentos formados pelos.licenciandos e tecnólogos, estes em posições sociais mais desvantajosas.",Wilson Mesquita de Almeida
